UID        PID  PPID  C STIME TTY          TIME CMD
cs20181+  3623     1  0 Jan19 ?        00:00:01 tmux
cs20181+  3624  3623  0 Jan19 pts/25   00:00:00 -bash
root      4070     2  0  2020 ?        00:34:54 [kworker/1:1H]
cs20171+  4192  1468  0  2020 pts/76   00:00:00 -bash
cs20171+  4232  1468  0  2020 pts/82   00:00:00 -bash
cs20141+  4307 32390  0  2020 pts/17   00:00:00 -bash
cs20141+  4320 32390  0  2020 pts/10   00:00:00 -bash
pl20141+  4384  2067  0  2020 pts/64   00:00:00 -bash
cs20171+  4390     1  0  2020 ?        00:00:00 vim MIPS_Simulator.c
cs20141+  4618 32390  0  2020 pts/31   00:00:00 -bash
cs20171+  4646  4192  0  2020 pts/76   00:00:00 vim to_postfix.h
cs20141+  4791     1  0  2020 ?        04:24:52 /students_home/old_students/cs20141379/java/jdk1.8.0_201/bin/java -Dproc_namenode -Xmx1000m -Djava.net.preferIPv4Stack=true -Dhadoop.log.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/logs -Dhadoop.log.file=hadoop.log -Dhadoop.home.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6 -Dhadoop.id.str=cs20141379 -Dhadoop.root.logger=INFO,console -Djava.library.path=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/lib/native -Dhadoop.policy.file=hadoop-policy.xml -Djava.net.preferIPv4Stack=true -Djava.net.preferIPv4Stack=true -Djava.net.preferIPv4Stack=true -Dhadoop.log.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/logs -Dhadoop.log.file=hadoop-cs20141379-namenode-uni06.log -Dhadoop.home.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6 -Dhadoop.id.str=cs20141379 -Dhadoop.root.logger=INFO,RFA -Djava.library.path=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/lib/native -Dhadoop.policy.file=hadoop-policy.xml -Djava.net.preferIPv4Stack=true -Dhadoop.security.logger=INFO,RFAS -Dhdfs.audit.logger=INFO,NullAppender -Dhadoop.security.logger=INFO,RFAS -Dhdfs.audit.logger=INFO,NullAppender -Dhadoop.security.logger=INFO,RFAS -Dhdfs.audit.logger=INFO,NullAppender -Dhadoop.security.logger=INFO,RFAS org.apache.hadoop.hdfs.server.namenode.NameNode
cs20151+  4820 12778  0  2020 pts/38   00:00:03 vim README.md
cs20171+  4847  4232  0  2020 pts/82   00:00:00 vim main.cpp
cs20141+  4952 32390  0  2020 pts/13   00:00:00 -bash
cs20141+  4958     1  0  2020 ?        05:28:41 /students_home/old_students/cs20141379/java/jdk1.8.0_201/bin/java -Dproc_datanode -Xmx1000m -Djava.net.preferIPv4Stack=true -Dhadoop.log.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/logs -Dhadoop.log.file=hadoop.log -Dhadoop.home.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6 -Dhadoop.id.str=cs20141379 -Dhadoop.root.logger=INFO,console -Djava.library.path=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/lib/native -Dhadoop.policy.file=hadoop-policy.xml -Djava.net.preferIPv4Stack=true -Djava.net.preferIPv4Stack=true -Djava.net.preferIPv4Stack=true -Dhadoop.log.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/logs -Dhadoop.log.file=hadoop-cs20141379-datanode-uni06.log -Dhadoop.home.dir=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6 -Dhadoop.id.str=cs20141379 -Dhadoop.root.logger=INFO,RFA -Djava.library.path=/students_home/old_students/cs20141379/cloud-computing/hadoop-2.7.6/lib/native -Dhadoop.policy.file=hadoop-policy.xml -Djava.net.preferIPv4Stack=true -server -Dhadoop.security.logger=ERROR,RFAS -Dhadoop.security.logger=ERROR,RFAS -Dhadoop.security.logger=ERROR,RFAS -Dhadoop.security.logger=INFO,RFAS org.apache.hadoop.hdfs.server.datanode.DataNode
cs20141+  5044 32390  0  2020 pts/24   00:00:00 -bash
cs20171+  5183  1468  0  2020 pts/99   00:00:00 -bash
